fecha,hospital,provincia,dia_semana,mes,year,pacientes_ayer,temperatura_media,temperatura_maxima,temperatura_minima,viento,viento_maximo,precipitaciones,humedad,target_pacientes
2024-01-01,C.A.U. Burgos,Burgos,LUNES,1,2024,133,3.3,6.5,1.0,17.0,27.8,1.27,84.0,133
2024-01-02,C.A.U. Burgos,Burgos,MARTES,1,2024,133,7.0,10.1,4.0,32.0,42.4,0.0,82.0,189
2024-01-03,C.A.U. Burgos,Burgos,MIÉRCOLES,1,2024,189,9.3,11.6,7.0,24.1,33.5,1.52,91.0,153
2024-01-04,C.A.U. Burgos,Burgos,JUEVES,1,2024,153,6.8,9.6,5.0,16.7,27.8,1.52,86.0,149
2024-01-05,C.A.U. Burgos,Burgos,VIERNES,1,2024,149,3.3,7.0,0.0,7.0,18.3,0.76,88.0,115
2024-01-06,C.A.U. Burgos,Burgos,SÁBADO,1,2024,115,1.9,5.9,-1.0,10.2,24.1,5.08,87.0,117
2024-01-07,C.A.U. Burgos,Burgos,DOMINGO,1,2024,117,1.7,5.6,-1.0,11.5,24.1,0.25,88.0,130
2024-01-08,C.A.U. Burgos,Burgos,LUNES,1,2024,130,-0.4,3.4,-4.2,3.7,9.4,0.25,86.0,124
2024-01-09,C.A.U. Burgos,Burgos,MARTES,1,2024,124,1.6,3.5,-1.8,7.6,14.8,0.0,88.0,109
2024-01-10,C.A.U. Burgos,Burgos,MIÉRCOLES,1,2024,109,2.4,4.0,0.0,13.9,20.6,0.0,93.0,91
2024-01-11,C.A.U. Burgos,Burgos,JUEVES,1,2024,91,0.3,3.0,-2.1,9.1,16.5,2.54,89.0,123
2024-01-12,C.A.U. Burgos,Burgos,VIERNES,1,2024,123,1.1,7.3,-2.0,9.3,18.3,0.0,79.0,120
2024-01-13,C.A.U. Burgos,Burgos,SÁBADO,1,2024,120,3.9,12.1,-2.3,7.2,22.2,0.0,75.0,122
2024-01-14,C.A.U. Burgos,Burgos,DOMINGO,1,2024,122,7.7,10.0,6.0,17.6,33.5,0.51,95.0,128
2024-01-15,C.A.U. Burgos,Burgos,LUNES,1,2024,128,9.9,12.0,8.0,15.6,24.1,7.62,97.0,152
